n_train,n_test,covariate_index,covariate,mean_mse_mlm,mean_mse_bayes,sd_mse_mlm,sd_mse_bayes,mean_repetition_ratio,median_repetition_ratio,sd_repetition_ratio,se_repetition_ratio,ratio_of_mean_mses,percent_reduction_from_mean_mses,R
10,34,1,Status: Diseased,0.38693111293396576,0.22515390202029203,0.6225436003946488,0.4352606896173611,2.140455841691895,1.8577483497975409,0.8177381349078823,0.08177381349078823,1.7185183532777217,41.81033923247285,100
15,29,1,Status: Diseased,0.2166504944026498,0.11486860845092677,0.15445988934158109,0.10522399762509838,2.1266053687643662,1.9561508389570603,0.7181959026909768,0.07181959026909768,1.8860722465808009,46.97976168129998,100
20,24,1,Status: Diseased,0.20912203556581743,0.13060969512894516,0.12438686570010973,0.0966074752620985,1.7366967736631511,1.7077084239540492,0.4650902999320641,0.046509029993206406,1.6011218413714274,37.54379122431693,100
25,19,1,Status: Diseased,0.2301906915185021,0.1702252184439053,0.1574863070826866,0.13865335316351163,1.4598737555030834,1.3562128992947242,0.31829964209710976,0.03182996420971097,1.352271382717346,26.05034664044047,100
10,34,2,Sex: Male,0.2741625930971852,0.16363530233704457,0.27318142500757,0.13853971405013632,1.6446084681894817,1.4911620189907615,0.47027290437186986,0.04702729043718699,1.6754489354166637,40.31450443750395,100
15,29,2,Sex: Male,0.14799822496746098,0.10977099552526366,0.07184646751433754,0.05636962041230229,1.3857744880003426,1.3404911239872188,0.3365937503250459,0.03365937503250459,1.3482452651474712,25.829518867947233,100
20,24,2,Sex: Male,0.1102434925775596,0.08946139883759421,0.04731151657271262,0.03859697847500352,1.2504633729433772,1.2045946947015773,0.253860548554183,0.0253860548554183,1.2323023562116733,18.851084317148747,100
25,19,2,Sex: Male,0.11399049531922,0.10127202683289262,0.05141176932273424,0.05191646111933177,1.155647276294284,1.141120076386529,0.16303598051750648,0.016303598051750648,1.1255871822069279,11.157481552045601,100
10,34,3,Age,0.06035284519007961,0.03317451881412301,0.06326130826768027,0.032229720117792404,1.8515762803237599,1.7161142888708878,0.577849937237529,0.0577849937237529,1.8192530697502167,45.03238627832575,100
15,29,3,Age,0.03362450538415867,0.02228926852323996,0.018892599252045422,0.013556675350934905,1.5502103732267178,1.534284512829907,0.30485417663344805,0.030485417663344803,1.508551316930836,33.71123747818464,100
20,24,3,Age,0.029891302331876552,0.021977547307977206,0.013396311949160553,0.011039244247977595,1.406972496508547,1.395129515431989,0.2753751415589118,0.02753751415589118,1.360083630488962,26.47510950187003,100
25,19,3,Age,0.028680875792525113,0.02469831397224074,0.014483422345213777,0.013802874757677528,1.189457858597092,1.19747497642626,0.19870875761086473,0.019870875761086475,1.1612483275077201,13.885774789772354,100
10,34,4,Weight,5.522094430466476,2.7468329435651815,5.418974205609965,3.6123478879015445,2.578702565004914,2.2112420322407065,1.2344712833482088,0.12344712833482088,2.0103495712772452,50.257407254566914,100
15,29,4,Weight,2.5235922548623595,1.0248665492665883,1.3625038860421796,0.6926110980113204,2.802699418186165,2.5000855349530564,1.1202832996168182,0.11202832996168181,2.462361813514437,59.388583980161,100
20,24,4,Weight,1.823979982753548,0.9267502987505655,0.8238861802542674,0.5723767822260455,2.126964709734861,2.0712205595310635,0.5748609359317497,0.05748609359317497,1.968146096324563,49.19076374119474,100
25,19,4,Weight,2.109561107219945,1.277441124593292,0.9188615557280176,0.740655122327146,1.7802849981976587,1.7116080311435327,0.39873774387246713,0.039873774387246715,1.651395956030131,39.445170835712396,100
10,34,5,Length,0.011861011002290353,0.006409219045211508,0.009975326685202823,0.006416610661784773,2.142330136755172,1.9960939270683644,0.7524945585799963,0.07524945585799962,1.850617199790046,45.963973526591516,100
15,29,5,Length,0.0065544343403923355,0.0035698248962710167,0.0033467967176936974,0.0023911312588132737,1.9569182181050362,1.8899521011311755,0.39121354157082977,0.039121354157082976,1.8360660622987406,45.53572877720926,100
20,24,5,Length,0.005480129406118697,0.003446960507163865,0.0026293564466550665,0.001985414717677726,1.6529404179568348,1.643366443073053,0.30697150224150815,0.030697150224150815,1.5898439784062712,37.10074613721256,100
25,19,5,Length,0.0056720526106821675,0.0041726518332375435,0.0023235126036071046,0.0019117119203504696,1.3959376465287994,1.3946747521285099,0.21495645787205286,0.021495645787205288,1.3593400162220688,26.434888396853108,100
