n_train,n_test,mean_mse_mlm,mean_mse_bayes,ratio_of_mean_mses,percent_reduction_from_mean_mses
10,34,5.522094430466476,2.7468329435651815,2.0103495712772452,50.257407254566914
15,29,2.5235922548623595,1.0248665492665883,2.462361813514437,59.388583980161
20,24,1.823979982753548,0.9267502987505655,1.968146096324563,49.19076374119474
25,19,2.109561107219945,1.277441124593292,1.651395956030131,39.445170835712396
