n_train,n_test,covariate_index,covariate,mean_mse_mlm,mean_mse_bayes,sd_mse_mlm,sd_mse_bayes,mean_repetition_ratio,median_repetition_ratio,sd_repetition_ratio,se_repetition_ratio,ratio_of_mean_mses,percent_reduction_from_mean_mses,R
20,78,1,SAMS status,0.07548266331518967,0.033690095241732124,0.03665829333774558,0.019471039407717307,2.4468126958686005,2.2600488845935454,0.8370733482052009,0.08370733482052009,2.240500146217718,55.36710846959141,100
30,68,1,SAMS status,0.05067110853829808,0.02654250147748676,0.02199809996307692,0.012897973786793618,1.9901235766415266,1.865320450148939,0.5424376752214878,0.05424376752214878,1.9090555041045059,47.61807617169952,100
40,58,1,SAMS status,0.047996318779091746,0.029240947621820296,0.023495843141902662,0.016687219945484662,1.7276236195170194,1.6188491254196276,0.4250457526585986,0.042504575265859865,1.6414077751459648,39.07668678424084,100
50,48,1,SAMS status,0.04511921064043565,0.03134573578156072,0.02265186395103895,0.014800097115818266,1.449358863059704,1.3809869994896338,0.31206752308136376,0.031206752308136375,1.4394050583102675,30.526852450142815,100
60,38,1,SAMS status,0.05072816482466621,0.03786747283655716,0.027124342516353116,0.021502962768879405,1.3888924338604023,1.3374570978649154,0.3104883067173871,0.03104883067173871,1.339623719903837,25.35217276745566,100
20,78,2,Fish Oil,0.0685798419814812,0.043347896141985615,0.03372412264688363,0.023048206134546747,1.633707080989336,1.6290866877476824,0.3957320569319754,0.03957320569319754,1.5820800565925643,36.79207345842097,100
30,68,2,Fish Oil,0.052569830598255284,0.038534037434325284,0.027036695099307704,0.019225399905493705,1.386630986761837,1.4058342115809177,0.31317698620689244,0.03131769862068924,1.364244031989942,26.69933116428157,100
40,58,2,Fish Oil,0.045939002079004504,0.035190108960162246,0.024492499004796584,0.019001424507451726,1.34299335186886,1.3167499179138829,0.2750335783039551,0.02750335783039551,1.3054521124390601,23.398185925668646,100
50,48,2,Fish Oil,0.04255679602050589,0.037739392705437004,0.023548711339785904,0.020104210373277042,1.1420131154507507,1.1381673343451357,0.23747857396871602,0.023747857396871602,1.1276492007348824,11.319938918210926,100
60,38,2,Fish Oil,0.04558199812946212,0.040989499468650034,0.020463292633706054,0.018374432120977956,1.1274556842825323,1.1219909919262305,0.1868896371766921,0.01868896371766921,1.112040857301138,10.075246477279165,100
20,78,3,Interaction SAMS-Fish Oil,0.07565144003923237,0.030891037989701144,0.03595951002775341,0.02082725696720423,2.7770197387894444,2.6267397923849,0.9532303831112834,0.09532303831112834,2.448976951323359,59.16662263972603,100
30,68,3,Interaction SAMS-Fish Oil,0.05338113823060065,0.02579968837401957,0.023805107680602653,0.014969660630910101,2.2211742053005805,2.103114539260685,0.5166195803576695,0.05166195803576695,2.069061356739322,51.66890548011969,100
40,58,3,Interaction SAMS-Fish Oil,0.04651810827837508,0.02527995683042085,0.02122165040960669,0.013746860210921056,1.9111416110308395,1.8827483339830606,0.36562444814688594,0.036562444814688594,1.8401181849486834,45.65566450135986,100
50,48,3,Interaction SAMS-Fish Oil,0.045768955346174485,0.02945446080236597,0.022625888888740762,0.01670002776563859,1.6158263456323807,1.5769064022779409,0.29867206037281563,0.029867206037281564,1.5538887523107545,35.64532863032045,100
60,38,3,Interaction SAMS-Fish Oil,0.04768199315092956,0.03284517210243934,0.019373515838409922,0.012663064383226745,1.4666745485534307,1.4429403085502717,0.2394001207617773,0.02394001207617773,1.4517199971495451,31.116193070047814,100
