n_train,n_test,mean_mse_mlm,mean_mse_bayes,ratio_of_mean_mses,percent_reduction_from_mean_mses
20,78,0.07565144003923237,0.030891037989701144,2.448976951323359,59.16662263972603
30,68,0.05338113823060065,0.02579968837401957,2.069061356739322,51.66890548011969
40,58,0.04651810827837508,0.02527995683042085,1.8401181849486834,45.65566450135986
50,48,0.045768955346174485,0.02945446080236597,1.5538887523107545,35.64532863032045
60,38,0.04768199315092956,0.03284517210243934,1.4517199971495451,31.116193070047814
