heterogeneity,n,m,rep,coef_mse_mlm,coef_mse_bayes,ratio_coef_mse,test_mse_mlm,test_mse_bayes,ratio_test_mse
low,50,300,1,0.05062841176704973,0.008543304769485028,5.926092201215186,1.5740151939228855,1.1120614297922877,1.4154030989249236
low,50,300,2,0.032226498014562045,0.005420826790959778,5.944941474297913,1.1762494329856106,0.9910889732574992,1.1868252646576505
low,50,300,3,0.0406054708266103,0.007036721038395186,5.770510242632966,1.433845521060757,1.093603854791912,1.3111196662100146
low,50,300,4,0.04062802152337959,0.00638795715759125,6.360096118537444,1.4439239589366035,1.0787734655789663,1.338486721270684
low,50,300,5,0.04946722719311811,0.007511051126507501,6.5859260388391805,1.4243705639347544,1.0680206590011663,1.3336545055849889
low,50,300,6,0.04784431509083203,0.006987511086437021,6.847118308506064,1.5614388815951088,1.073654537178673,1.4543215042877995
low,50,300,7,0.04877685607653471,0.007796956343582611,6.255884210084253,1.5341713755808593,1.042013384494304,1.4723144619926383
low,50,300,8,0.04162411505954293,0.006501458287613753,6.402273646643719,1.508944739608144,1.086536243412303,1.3887661352825684
low,50,300,9,0.033537439685416164,0.00658232824328496,5.095072510191175,1.3308696032822687,1.0577245214774533,1.258238394079472
low,50,300,10,0.03646199923392211,0.00599471189959697,6.082360561209537,1.3186025405276862,1.0181170009933662,1.2951385147690682
low,50,300,11,0.043504203095083314,0.007022870482655122,6.194646932835898,1.4820638273490772,1.094963088337434,1.3535285738256326
low,50,300,12,0.0356751067637169,0.004930940631824619,7.234949561847772,1.38158015693809,1.0613584599332964,1.3017092802227428
low,50,300,13,0.04449064544242948,0.007408628493335468,6.005247190144794,1.467316814719788,1.0532737037938917,1.3931011563608897
low,50,300,14,0.04457287693293802,0.006044725660015734,7.373846132964453,1.4788180610886885,1.061714797700294,1.3928581049184325
low,50,300,15,0.04094432387136023,0.005990318644546738,6.835082789566417,1.304102551458876,1.0195938341623174,1.279041229717034
low,50,300,16,0.048384284616546494,0.008962200651388814,5.398705797671322,1.5270034626403866,1.0702894905096267,1.4267200380649274
low,50,300,17,0.038414252737274356,0.006503565390760679,5.906645113747568,1.3827026492705554,1.0728240259592539,1.2888438511937939
low,50,300,18,0.03860518615740611,0.006341747640250467,6.087468052557417,1.4771342312638225,1.0849696269523348,1.3614521499676198
low,50,300,19,0.04095241147330174,0.0073974675950636394,5.536004172648144,1.4366973417468858,1.0774378833587297,1.3334386732980148
low,50,300,20,0.04080259554748267,0.007669230438682348,5.320298545429151,1.3008637855470977,1.0612878980947515,1.2257407136013123
low,50,300,21,0.03694681194726328,0.006575486047931157,5.618871620735602,1.339783851314517,1.0636356912437737,1.259626639406794
low,50,300,22,0.040054860047688406,0.005414992799644459,7.397029235259252,1.3994812143987811,1.049339158091722,1.333678633458996
low,50,300,23,0.04377638367920249,0.0058840124250109085,7.439886342374835,1.3714902514846858,1.0283303326519464,1.3337059191357015
low,50,300,24,0.034789260325608085,0.00522985986695657,6.652044454463197,1.3220670792903189,1.036781409595752,1.2751647233005476
low,50,300,25,0.047966720217603134,0.008695248949306037,5.516428626397331,1.5699826384851931,1.083956972429444,1.4483809583017238
low,50,300,26,0.03499309830966369,0.005378645886294071,6.505930869855835,1.380466129210455,1.0661937828862043,1.2947610006442827
low,50,300,27,0.03738220328690069,0.006144289238379564,6.0840565664450255,1.4781391323617286,1.0626872350739467,1.390944657633789
low,50,300,28,0.04206035004678402,0.007176001992219918,5.861251166371614,1.4636754072192866,1.0959437853051617,1.3355387628862108
low,50,300,29,0.036266900133531114,0.006182452789920296,5.866102235776016,1.4011402017656642,1.064165688179805,1.3166560596049992
low,50,300,30,0.04928663225756124,0.008080628222214972,6.099356498305937,1.490281644561405,1.0566848060562706,1.4103369671069583
low,50,300,31,0.03419378534988431,0.006012142319156357,5.687454410540716,1.3018561420291197,1.0577660894961423,1.2307599524666626
low,50,300,32,0.044478535170849376,0.007395326386328368,6.0144113792024365,1.4176632473630013,1.0939644955016798,1.2958951165164432
low,50,300,33,0.044453708918349065,0.007571884809338853,5.87089080693907,1.4674794551829529,1.1045009338217024,1.3286357758931922
low,50,300,34,0.038244216882309556,0.0061932265483522,6.1751684011115335,1.366617178279382,1.0777854292179918,1.2679863182701938
low,50,300,35,0.04129443103756339,0.006169990332180478,6.692786992256099,1.4085269338399307,1.0665941238350698,1.3205838119334463
low,50,300,36,0.03825194902071344,0.0053171113880944925,7.194122189420954,1.5098299099814758,1.0812687560721457,1.3963502612117789
low,50,300,37,0.044761319281231705,0.006599287940602129,6.782749848788628,1.420386867264777,1.0418033036015235,1.3633925543857335
low,50,300,38,0.04640190422115118,0.006222282872630488,7.45737620275284,1.5837543249639103,1.078559074918589,1.468398311964001
low,50,300,39,0.038541305586540155,0.0057186371803612385,6.73959623088128,1.4347394556391386,1.0756706616516862,1.3338092287802146
low,50,300,40,0.04996413409753142,0.009137162865137218,5.468232845905509,1.5702549527220426,1.0972319277382514,1.4311057790296389
low,50,300,41,0.03426283469265365,0.00533716500523126,6.419669367364638,1.3065539758651654,1.0550803283860075,1.2383454991183902
low,50,300,42,0.03666475939096355,0.005156882137495,7.109869571068725,1.3251278589333693,1.0565330610367734,1.2542228045689592
low,50,300,43,0.03597230980621498,0.006335174586204036,5.678187604261302,1.3589306717916247,1.0535543991280791,1.2898533506350263
low,50,300,44,0.04318366209226978,0.006116192657250291,7.060546407261839,1.3259008061807058,1.0654966221604119,1.2443970056820037
low,50,300,45,0.044291884219972585,0.007136048183192456,6.206780431260725,1.3332808717627822,1.0639237933240313,1.2531732818919248
low,50,300,46,0.04035367765972286,0.007084108571447163,5.696366346271185,1.3374885746828593,1.055969775039716,1.2665974029725948
low,50,300,47,0.041134419858847505,0.006065015556740847,6.78224474018528,1.427508849361839,1.0395625634553038,1.3731822398616176
low,50,300,48,0.045464218820777384,0.007502039531299385,6.060247834085032,1.4434241198498976,1.08948387025612,1.3248696554916155
low,50,300,49,0.0469385299089457,0.008087069434102905,5.804145777580129,1.4297182446043364,1.0689894165975677,1.3374484559023176
low,50,300,50,0.03671064539910896,0.0052559187685505375,6.984629522581629,1.3899733261020508,1.0370754372462248,1.3402817926079569
low,50,300,51,0.04097204914965846,0.006084003685562896,6.734389271801978,1.5084982175627282,1.1083070131107111,1.3610833457859217
low,50,300,52,0.04228893082196642,0.00741351537604499,5.704302031747723,1.3748101129174801,1.033737823989293,1.3299408041508598
low,50,300,53,0.03475860602354629,0.005657308717217334,6.144017899847445,1.3542419894753843,1.0557489620414047,1.2827310640749399
low,50,300,54,0.042044512591692444,0.005230923479066075,8.037684504457525,1.4015873485129868,1.0634057351259827,1.3180174812080918
low,50,300,55,0.04076687459899703,0.006621928421310699,6.156344799469746,1.4560575804827331,1.0713205313644358,1.3591241256510742
low,50,300,56,0.04768586351972267,0.00758819106190528,6.284220195656153,1.4842423570879715,1.1177429277634943,1.3278924162444137
low,50,300,57,0.046082097948013066,0.006734917310622332,6.842266329733885,1.3289512303270656,1.0344546995225279,1.2846877015885454
low,50,300,58,0.04850475725591493,0.007678490728276968,6.316965009450401,1.4608336887317228,1.0814860265220294,1.3507651998330894
low,50,300,59,0.042144219678177254,0.007179936677467433,5.869720245644661,1.41974422594978,1.070225506232181,1.3265841803267322
low,50,300,60,0.04626515263438423,0.00683744573354989,6.766437999993327,1.668245415680808,1.1185657417303019,1.491414722839813
