n_train,n_test,covariate_index,covariate,mean_mse_mlm,mean_mse_bayes,sd_mse_mlm,sd_mse_bayes,mean_repetition_ratio,median_repetition_ratio,sd_repetition_ratio,se_repetition_ratio,ratio_of_mean_mses,percent_reduction_from_mean_mses,R
40,744,1,Sex: Female,0.032359361494941,0.011702713355087229,0.008239696483278278,0.003260496252655683,2.7932660357809125,2.792401971743399,0.3681332240845155,0.036813322408451546,2.7651161327363645,63.83515367904645,100
60,724,1,Sex: Female,0.020833372986758133,0.009487110801491122,0.0035797724342931055,0.0014244586697723777,2.2044165877864854,2.1908894043443414,0.2654691028963844,0.02654691028963844,2.195966024080132,54.461954828336204,100
80,704,1,Sex: Female,0.015890171918314135,0.008226154371020415,0.0029026014526446664,0.0014179359464755324,1.9422769911114517,1.9660869774432919,0.24315067791296302,0.024315067791296302,1.9316646882160362,48.23118079962745,100
100,684,1,Sex: Female,0.01255587393478062,0.007311854938942957,0.0020415663691792847,0.0011086904625741975,1.724262450118084,1.7343788279225962,0.18904879561544657,0.018904879561544657,1.7171940690327436,41.76546390220896,100
125,659,1,Sex: Female,0.010178268119621215,0.006566860222443516,0.0015251531092356468,0.0008256251328097994,1.5530481167032202,1.5487426037983452,0.1592106736184695,0.01592106736184695,1.549944383593702,35.481555945807585,100
150,634,1,Sex: Female,0.008567518752963332,0.005980936744942943,0.0017228453035920703,0.0011984394698418826,1.439136972717041,1.4428779805440635,0.14925028105509508,0.014925028105509507,1.4324710523326332,30.190561381914016,100
200,584,1,Sex: Female,0.007028295599351625,0.005394394009546032,0.0011637006047516877,0.0008880598268360573,1.3076502218148431,1.30345904442207,0.11060551706617637,0.011060551706617638,1.302888811405731,23.247479658600646,100
250,534,1,Sex: Female,0.006025904831675557,0.004890176309052759,0.0009513850555085706,0.0007982248679024461,1.236506814486729,1.2360136790197553,0.09329583335126541,0.009329583335126542,1.2322469479311662,18.847435436629667,100
300,484,1,Sex: Female,0.0056390081684594175,0.0047811648871235865,0.0008613257568742689,0.0008144931875510245,1.1848777171523204,1.1924602431477014,0.08392704593602845,0.008392704593602845,1.179421396581853,15.212662505686614,100
400,384,1,Sex: Female,0.00525295903187195,0.004724087689767106,0.0008004071000973948,0.0006685514199603426,1.1116203074555648,1.1167673873707602,0.05351577259300393,0.0053515772593003925,1.1119520586483687,10.068065235155178,100
500,284,1,Sex: Female,0.005825550008141087,0.005475127182553739,0.0009624160788146661,0.0009206720815545893,1.0656837630170914,1.0703992488918181,0.04749923851219493,0.004749923851219493,1.0640026822945694,6.015274525111602,100
600,184,1,Sex: Female,0.0072960893777215515,0.007040139950638652,0.0011247706568683154,0.0011014452886862985,1.0371657964433307,1.0360315400384774,0.03157590888942078,0.003157590888942078,1.0363557299822828,3.508035796058573,100
40,744,2,Age,0.00020027437930206002,5.250100767616981e-5,0.00010794606284760971,2.5848576698258277e-5,3.8547219099385446,3.6603305732930904,1.0207079005100996,0.10207079005100997,3.814676863677885,73.78545979813715,100
